id	genre_term	word_term	word_definition	word_explanation	question_content	correct_answer	difficulty
1	Hardware	CPU	Central Processing Unit	コンピュータの中心的な処理を行う部品	CPUの略称は何ですか？	Central Processing Unit	1
2	Hardware	RAM	Random Access Memory	コンピュータの一時的なデータ保存場所	RAMは何の略ですか？	Random Access Memory	1
3	Hardware	HDD	Hard Disk Drive	データを永続的に保存するための装置	HDDは何の略ですか？	Hard Disk Drive	1
4	Hardware	SSD	Solid State Drive	高速なデータ読み書きが可能な記憶装置	SSDは何の略ですか？	Solid State Drive	2
5	Hardware	GPU	Graphics Processing Unit	画像処理を専門に行う処理装置	GPUは主に何の処理を行いますか？	画像処理	2
6	Hardware	マザーボード	Motherboard	コンピュータの主要部品を接続する基板	コンピュータの主要部品を接続する基板は何ですか？	マザーボード	1
7	Hardware	電源ユニット	Power Supply Unit	コンピュータに電力を供給する装置	コンピュータに電力を供給する装置は何ですか？	電源ユニット	1
8	Hardware	キーボード	Keyboard	文字や命令を入力するための装置	アルファベットや数字を入力するための一般的な装置は何ですか？	キーボード	1
9	Hardware	マウス	Mouse	カーソルを操作するための入力装置	画面上のポインタを動かすための一般的な装置は何ですか？	マウス	1
10	Hardware	モニター	Monitor	画像を表示する出力装置	コンピュータの画面を表示する装置は何ですか？	モニター	1
11	Hardware	プリンター	Printer	デジタルデータを紙に印刷する装置	デジタルデータを紙に出力する装置は何ですか？	プリンター	1
12	Hardware	スキャナー	Scanner	紙の文書をデジタル化する装置	紙の文書や写真をデジタル化する装置は何ですか？	スキャナー	1
13	Hardware	ネットワークカード	Network Interface Card	コンピュータをネットワークに接続するための装置	コンピュータをネットワークに接続するための装置は何ですか？	ネットワークカード	2
14	Hardware	USB	Universal Serial Bus	周辺機器を接続するための規格	USBは何の略ですか？	Universal Serial Bus	2
15	Hardware	HDMI	High-Definition Multimedia Interface	高品質な映像と音声を伝送するための規格	HDMIは何の略ですか？	High-Definition Multimedia Interface	2
16	Hardware	Bluetooth	Bluetooth	短距離無線通信の規格	スマートフォンとワイヤレスイヤホンを接続する一般的な無線技術は何ですか？	Bluetooth	1
17	Hardware	Wi-Fi	Wireless Fidelity	無線LANの規格	家庭やオフィスで一般的に使用される無線ネットワーク技術は何ですか？	Wi-Fi	1
18	Hardware	タッチパッド	Touchpad	ノートパソコンに搭載されている入力装置	ノートパソコンでマウスの代わりに使用される入力装置は何ですか？	タッチパッド	1
19	Hardware	メモリカード	Memory Card	携帯型の記憶媒体	デジタルカメラなどで使用される小型の記憶媒体は何ですか？	メモリカード	1
20	Hardware	イヤホン	Earphones	音声を個人的に聴くための装置	耳に直接装着して音楽を聴く小型の装置は何ですか？	イヤホン	1
21	Hardware	スピーカー	Speaker	音声を出力する装置	音を外部に出力する装置は何ですか？	スピーカー	1
22	Hardware	マイク	Microphone	音声を入力する装置	音声を電気信号に変換する入力装置は何ですか？	マイク	1
23	Hardware	ウェブカメラ	Webcam	動画を撮影しコンピュータに入力する装置	ビデオ通話に使用されるカメラは何ですか？	ウェブカメラ	1
24	Hardware	ルーター	Router	ネットワーク間の通信を制御する装置	インターネット接続を複数のデバイスで共有するための装置は何ですか？	ルーター	2
25	Hardware	モデム	Modem	デジタル信号とアナログ信号を変換する装置	インターネットプロバイダーとの接続に使用される装置は何ですか？	モデム	2
26	Hardware	バッテリー	Battery	携帯電子機器に電力を供給する装置	ノートパソコンやスマートフォンの電源として使用される充電式の装置は何ですか？	バッテリー	1
27	Hardware	冷却ファン	Cooling Fan	コンピュータ内部の熱を逃がす装置	コンピュータ内部の温度を下げるために使用される回転する装置は何ですか？	冷却ファン	1
28	Hardware	光学ドライブ	Optical Drive	CD・DVDなどを読み書きする装置	CD・DVDを読み込むための装置は何ですか？	光学ドライブ	2
29	Hardware	タッチスクリーン	Touchscreen	画面に触れて操作する入力装置	指で直接触れて操作する画面は何ですか？	タッチスクリーン	1
30	Hardware	ポート	Port	外部機器を接続するための差込口	コンピュータに外部機器を接続するための差込口を一般に何と呼びますか？	ポート	1
31	Hardware	RAID	Redundant Array of Independent Disks	複数のディスクを組み合わせてデータの冗長性や性能を向上させる技術	複数のハードディスクを組み合わせてデータの信頼性や性能を向上させる技術は何ですか？	RAID	3
32	Hardware	FPGA	Field-Programmable Gate Array	プログラム可能な集積回路	ユーザーが構成を変更できる集積回路の一種は何ですか？	FPGA	3
33	Hardware	NAS	Network Attached Storage	ネットワークに直接接続できるストレージデバイス	ネットワークに直接接続してファイル共有ができるストレージデバイスは何ですか？	NAS	3
34	Hardware	TPM	Trusted Platform Module	セキュリティ関連の機能を提供するチップ	コンピュータのセキュリティを強化するための専用チップは何ですか？	TPM	3
35	Hardware	PCI Express	Peripheral Component Interconnect Express	高速なデータ転送を可能にするバス規格	コンピュータの拡張カードを接続する高速なバス規格は何ですか？	PCI Express	3
36	Hardware	BIOS	Basic Input/Output System	コンピュータの起動時に最初に実行されるファームウェア	コンピュータの起動時に最初に実行される基本的なファームウェアは何ですか？	BIOS	2
37	Hardware	UEFI	Unified Extensible Firmware Interface	BIOSの後継となるファームウェアインターフェース	BIOSの後継として開発された、より高機能なファームウェアインターフェースは何ですか？	UEFI	3
38	Hardware	NVMe	Non-Volatile Memory Express	高速なSSD向けのホストコントローラインターフェース	高速なSSD向けに開発された新しいホストコントローラインターフェースは何ですか？	NVMe	3
39	Hardware	ECC メモリ	Error-Correcting Code Memory	エラーを検出・修正できるメモリ	データエラーを検出・修正する機能を持つメモリの種類は何ですか？	ECC メモリ	3
